Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rrx2-r989-2c43,HIGH,"BIT-tensorflow-2022-23567,CVE-2022-23567,PYSEC-2022-131,PYSEC-2022-76",CWE-190,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-76,GHSA-rrx2-r989-2c43",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rww7-2gpw-fv6j,HIGH,"BIT-tensorflow-2022-23572,CVE-2022-23572,PYSEC-2022-136,PYSEC-2022-81","CWE-617,CWE-754",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-81,GHSA-rww7-2gpw-fv6j",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-v3f7-j968-4h5f,MODERATE,"BIT-tensorflow-2022-21725,CVE-2022-21725,PYSEC-2022-104,PYSEC-2022-49",CWE-369,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-49,GHSA-v3f7-j968-4h5f",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-v5xg-3q2c-c2r4,MODERATE,"BIT-tensorflow-2022-35960,CVE-2022-35960",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-v5xg-3q2c-c2r4,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-v6h3-348g-6h5x,MODERATE,"BIT-tensorflow-2022-35967,CVE-2022-35967",CWE-20,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-v6h3-348g-6h5x,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-v7vw-577f-vp8x,MODERATE,"BIT-tensorflow-2022-35979,CVE-2022-35979",CWE-20,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-v7vw-577f-vp8x,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-vgvh-2pf4-jr2x,MODERATE,"BIT-tensorflow-2022-35974,CVE-2022-35974",CWE-20,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-vgvh-2pf4-jr2x,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-vjg4-v33c-ggc4,HIGH,"BIT-tensorflow-2022-21730,CVE-2022-21730,PYSEC-2022-109,PYSEC-2022-54",CWE-125,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-54,GHSA-vjg4-v33c-ggc4",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-vm7x-4qhj-rrcq,MODERATE,"BIT-tensorflow-2022-35991,CVE-2022-35991",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-vm7x-4qhj-rrcq,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-vwhq-49r4-gj9v,HIGH,"BIT-tensorflow-2021-41214,CVE-2021-41214,PYSEC-2021-406,PYSEC-2021-623,PYSEC-2021-821",CWE-824,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"PYSEC-2021-623,GHSA-vwhq-49r4-gj9v",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-vxv8-r8q2-63xw,MODERATE,"BIT-tensorflow-2022-35981,CVE-2022-35981",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-vxv8-r8q2-63xw,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-w62h-8xjm-fv49,MODERATE,"BIT-tensorflow-2022-35987,CVE-2022-35987",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-w62h-8xjm-fv49,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-wc4g-r73w-x8mm,HIGH,"BIT-tensorflow-2022-23563,CVE-2022-23563,PYSEC-2022-127,PYSEC-2022-72","CWE-367,CWE-668",CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,"PYSEC-2022-72,GHSA-wc4g-r73w-x8mm",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-wcv5-vrvr-3rx2,MODERATE,,CWE-190,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,GHSA-wcv5-vrvr-3rx2,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-wm93-f238-7v37,HIGH,"BIT-tensorflow-2022-23576,CVE-2022-23576,PYSEC-2022-140,PYSEC-2022-85",CWE-190,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-85,GHSA-wm93-f238-7v37",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-wq6q-6m32-9rv9,MODERATE,"BIT-tensorflow-2022-35993,CVE-2022-35993",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-wq6q-6m32-9rv9,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-wqmc-pm8c-2jhc,MODERATE,"BIT-tensorflow-2022-36017,CVE-2022-36017",CWE-20,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-wqmc-pm8c-2jhc,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-wxjj-cgcx-r3vq,MODERATE,"BIT-tensorflow-2022-35959,CVE-2022-35959",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-wxjj-cgcx-r3vq,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-x3v8-c8qx-3j3r,MODERATE,"BIT-tensorflow-2021-41215,CVE-2021-41215,PYSEC-2021-407,PYSEC-2021-624,PYSEC-2021-822",CWE-476,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"PYSEC-2021-624,GHSA-x3v8-c8qx-3j3r",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-x4qx-4fjv-hmw6,HIGH,"BIT-tensorflow-2022-21738,CVE-2022-21738,PYSEC-2022-117,PYSEC-2022-62",CWE-190,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-62,GHSA-x4qx-4fjv-hmw6",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-x989-q2pq-4q5x,MODERATE,"BIT-tensorflow-2022-35940,CVE-2022-35940",CWE-190,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-x989-q2pq-4q5x,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-xf83-q765-xm6m,LOW,,,,GHSA-xf83-q765-xm6m,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-xrp2-fhq4-4q3w,MODERATE,"BIT-tensorflow-2022-29211,CVE-2022-29211",CWE-20,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,GHSA-xrp2-fhq4-4q3w,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-xrqm-fpgr-6hhx,MODERATE,"BIT-tensorflow-2021-41202,CVE-2021-41202,PYSEC-2021-395,PYSEC-2021-612,PYSEC-2021-810",CWE-681,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2021-612,GHSA-xrqm-fpgr-6hhx",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-xvwp-h6jv-7472,HIGH,"BIT-tensorflow-2022-41900,CVE-2022-41900","CWE-125,CWE-787",CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,GHSA-xvwp-h6jv-7472,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-xwhf-g6j5-j5gc,MODERATE,"BIT-tensorflow-2020-15266,CVE-2020-15266,PYSEC-2020-139,PYSEC-2020-296,PYSEC-2020-331",CWE-119,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,"PYSEC-2020-296,GHSA-xwhf-g6j5-j5gc",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-xxcj-rhqg-m46g,MODERATE,"BIT-tensorflow-2022-41889,CVE-2022-41889",CWE-476,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,GHSA-xxcj-rhqg-m46g,
,lockfile,tensorflow-cpu,2.3.4,PyPI,PYSEC-2020-295,,"BIT-tensorflow-2020-15265,CVE-2020-15265,GHSA-rrfp-j2mp-hq9c,PYSEC-2020-138,PYSEC-2020-330",,,"PYSEC-2020-295,GHSA-rrfp-j2mp-hq9c",
,lockfile,tensorflow-cpu,2.3.4,PyPI,PYSEC-2020-296,,"BIT-tensorflow-2020-15266,CVE-2020-15266,GHSA-xwhf-g6j5-j5gc,PYSEC-2020-139,PYSEC-2020-331",,,"PYSEC-2020-296,GHSA-xwhf-g6j5-j5gc",
,lockfile,tensorflow-cpu,2.3.4,PyPI,PYSEC-2021-606,,"BIT-tensorflow-2021-41196,CVE-2021-41196,GHSA-m539-j985-hcr8,PYSEC-2021-389,PYSEC-2021-804",,,"PYSEC-2021-606,GHSA-m539-j985-hcr8",
,lockfile,tensorflow-cpu,2.3.4,PyPI,PYSEC-2021-607,,"BIT-tensorflow-2021-41197,CVE-2021-41197,GHSA-prcg-wp5q-rv7p,PYSEC-2021-390,PYSEC-2021-805",,,"PYSEC-2021-607,GHSA-prcg-wp5q-rv7p",
,lockfile,tensorflow-cpu,2.3.4,PyPI,PYSEC-2021-608,,"BIT-tensorflow-2021-41198,CVE-2021-41198,GHSA-2p25-55c9-h58q,PYSEC-2021-391,PYSEC-2021-806",,,"PYSEC-2021-608,GHSA-2p25-55c9-h58q",
,lockfile,tensorflow-cpu,2.3.4,PyPI,PYSEC-2021-609,,"BIT-tensorflow-2021-41199,CVE-2021-41199,GHSA-5hx2-qx8j-qjqm,PYSEC-2021-392,PYSEC-2021-807",,,"PYSEC-2021-609,GHSA-5hx2-qx8j-qjqm",
